Customer_id,product_category,purchase_amount,income,satisfaction_score,purchase_date,transaction
PO_2001,App Development,18249,40682,6,06-04-2023,Cash
PO_2002,SEO,4557,15317,6,01-03-2023,Bank Transfer
PO_2003,LOGO DESIGN,11822,38849,6,09-02-2023,UPI
PO_2004,Election Campaign,4098,11568,7,21-03-2024,UPI
PO_2005,SEO,19685,46952,5,10-04-2023,UPI
PO_2006,App Development,2822,7347,5,26-05-2023,UPI
PO_2007,Web Development,3293,8265,7,02-07-2023,Cash
PO_2008,SEO,21794,47773,5,07-02-2023,Bank Transfer
PO_2009,Web Development,5819,19154,5,07-05-2023,Cash
PO_2010,App Development,8779,24666,6,05-02-2023,UPI
PO_2011,Election Campaign,16158,43896,6,27-02-2024,UPI
PO_2012,Software Development,13608,40044,5,05-09-2023,UPI
PO_2013,App Development,2450,6735,5,16-04-2024,Cash
PO_2014,Election Campaign,5579,19034,5,21-06-2023,Cash
PO_2015,SEO,12901,35748,3,30-09-2023,UPI
PO_2016,Software Development,9644,26282,7,14-03-2023,UPI
PO_2017,Software Development,21329,49088,5,26-06-2023,Cash
PO_2018,Web Development,7612,20163,3,11-01-2023,UPI
PO_2019,Software Development,3129,10660,6,04-02-2024,UPI
PO_2020,SEO,12764,40725,6,28-12-2023,Bank Transfer
PO_2021,Election Campaign,17638,46173,5,08-10-2023,Cash
PO_2022,SEO,12838,37894,5,06-06-2023,Bank Transfer
PO_2023,Web Development,3264,8936,5,31-07-2023,Bank Transfer
PO_2024,Election Campaign,12633,36226,4,15-05-2024,Cash
PO_2025,App Development,11869,40646,5,07-05-2024,Cash
PO_2026,App Development,2188,7915,6,26-12-2023,Bank Transfer
PO_2027,Web Development,11944,39287,6,18-06-2023,Bank Transfer
PO_2028,Web Development,12137,42196,6,23-05-2024,Cash
PO_2029,LOGO DESIGN,15844,38932,5,12-05-2023,Bank Transfer
PO_2030,Software Development,15289,42955,4,10-08-2023,Cash
PO_2031,Web Development,2080,6952,6,02-01-2024,Bank Transfer
PO_2032,Web Development,11833,26915,4,19-05-2024,UPI
PO_2033,Web Development,4155,9545,5,14-01-2024,UPI
PO_2034,App Development,4475,13128,6,03-04-2023,Bank Transfer
PO_2035,Web Development,5888,13820,6,10-12-2023,Bank Transfer
PO_2036,Election Campaign,14083,43701,5,24-07-2023,Bank Transfer
PO_2037,Software Development,16783,41024,6,15-06-2024,Cash
PO_2038,Web Development,17967,42930,5,28-05-2024,UPI
PO_2039,Election Campaign,9505,25750,4,27-05-2024,Cash
PO_2040,LOGO DESIGN,17595,46720,6,16-03-2023,Bank Transfer
PO_2041,SEO,12690,41298,5,06-04-2024,UPI
PO_2042,Software Development,1693,5513,5,17-03-2024,UPI
PO_2043,App Development,4842,13482,5,17-10-2023,Cash
PO_2044,Software Development,5347,14522,3,15-04-2023,Bank Transfer
PO_2045,SEO,11293,24758,6,27-05-2024,Cash
PO_2046,Web Development,16596,45527,6,11-05-2023,Cash
PO_2047,Software Development,2394,6755,6,11-12-2023,UPI
PO_2048,LOGO DESIGN,16856,45358,6,07-06-2023,Cash
PO_2049,Election Campaign,5197,12972,5,08-04-2023,UPI
PO_2050,Web Development,12967,31837,6,10-01-2024,UPI
PO_2051,LOGO DESIGN,12114,29373,5,28-09-2023,UPI
PO_2052,App Development,8649,28752,4,16-01-2024,Bank Transfer
PO_2053,Election Campaign,3079,8328,5,01-07-2023,Cash
PO_2054,LOGO DESIGN,7587,22078,6,20-06-2023,UPI
PO_2055,LOGO DESIGN,6884,15865,4,25-01-2023,Cash
PO_2056,App Development,1987,6818,7,29-03-2023,UPI
PO_2057,App Development,18416,44939,5,11-02-2024,Cash
